Planeta,Massa do Planeta,Raio do Planeta,Densidade,Semi-eixo,Velocidade de Escape,Gravidade,Periodo Orbital,Excentricidade,Temperatura da Estrela,Massa da Estrela,Raio da Estrela,Metalicidade,Insolacao,Luminosidade,Luminosidade UV,Luminosidade Raios-X,Tem Atmosfera,Zona Venus,Zona Habitavel,Zona Marte,Zona Habitavel UV,Zona Muito UV,Zona Habitavel Raios-x,Ar Escapa,C Escapa,CH4 Escapa,CO Escapa,CO2 Escapa,H2 Escapa,H2O Escapa,He Escapa,N Escapa,N2 Escapa,O Escapa,O2 Escapa,n,Omega,Acoplado por Marés,Aquecido por marés,Grupos
TOI-1442 b,1.5890000000000002,1.17,5.451747547233467,0.0071,13028.884034550449,11.37384369523032,0.4090677,0.01,3330.0,0.29,0.31,0.0,210.20350423153883,0.0105963586483118,1.4928707593403756e+26,4.075359536140746e+28,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,True,False,False,False,0.0001792382742226,4.875625383754219e-06,True,False,Mércurios Análogos
TOI-1776 b,1.4,1.21612741,4.277206611249266,0.0378,11995.34325689902,9.275235890963184,2.799868,0.0,5785.0,0.9196,0.9356,-0.193,619.3788912942997,0.8849933350369471,1.7371888476840112e+31,3.4036843665520983e+30,False,False,False,False,False,True,False,False,True,True,False,False,True,True,True,True,False,True,False,2.598235303641609e-05,0.000148550572163,True,False,Mércurios Análogos
TOI-178 b,1.5,1.152,5.391421009537824,0.02607,12757.265407115936,11.074940020152304,1.914558,0.01,4316.0,0.65,0.651,-0.23,194.2173113487021,0.1319988051498575,3.57206973356288e+28,5.07667404606352e+29,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,True,False,False,False,3.813838877198954e-05,0.0001363583049581,True,False,Mércurios Análogos
TOI-2096 b,1.9068,1.243,5.455834430601927,0.025,13846.98456727838,12.092552120535291,3.1190633,0.15,3300.0,0.231,0.235,-0.03,9.471962776299485,0.0059199767351871,1.2331457492632988e+26,2.2768230523529887e+28,True,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,2.4211241751324785e-05,0.0001451465305237,True,False,Vênus Análogos
TOI-2445 b,1.9068,1.25,5.364688738939227,0.0064,13808.158577791954,11.9574947592198,0.3711281,0.01,3333.0,0.25,0.27,0.0,196.9541619049907,0.0080672424716284,1.5215345711344758e+26,3.10266145458829e+28,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,0.0001944557195372,2.010752727135416e-05,True,False,Mércurios Análogos
TOI-270 b,1.58,1.206,4.949765091265365,0.03197,12796.555672277816,10.64431095709798,3.3601538,0.034,3506.0,0.386,0.378,-0.2,18.98080937028549,0.0193999227239098,4.430243288491566e+26,7.461210279615721e+28,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,2.164203385424036e-05,0.0001526532185294,True,False,Mércurios Análogos
TOI-4527 b,1.1279392159143535,1.03304,5.622166553602318,0.008,11682.141976414016,10.356344825221978,0.3994445,0.01,3700.0,0.48,0.49,0.0,630.4859453380436,0.0403511005016347,1.3817211719816075e+27,1.5519033252928742e+29,False,False,False,False,True,False,False,False,True,True,False,False,True,True,True,True,False,True,False,0.0001927981559224,1.84483889711338e-05,True,False,Mércurios Análogos
TOI-4527.01,0.7013489629318146,0.9086617,5.136850366105767,0.008332353,9822.095873285663,8.323093916412757,0.3994445,0.01,3702.0,0.483901,0.485948,0.0,572.8570499356558,0.0397723802817231,1.3975812724650555e+27,1.5296457456350713e+29,False,False,False,False,True,False,False,False,True,True,True,False,True,True,True,True,True,True,True,0.0001821140360027,7.7541191375048e-06,True,False,Mércurios Análogos
TOI-500 b,1.42,1.166,4.9222324365034495,0.01189,12337.668523103608,10.234021511295335,0.548177,0.063,4440.0,0.74,0.678,0.12,1133.1408243747512,0.1601944979375897,6.497231314848346e+28,6.1610803906797016e+29,False,False,False,False,False,True,False,False,True,True,False,False,True,True,True,True,False,True,False,0.0001321174048606,3.7433967529832747e-05,True,False,Mércurios Análogos
TOI-540 b,0.6852997236978711,0.903,5.114306252224734,0.01223,9739.453850514928,8.234934289032156,1.2391491,0.0,3216.0,0.159,0.1895,0.0,23.132740495375312,0.0034600310808407,7.153437160094758e+25,1.3307279536913416e+28,False,True,False,False,True,False,True,False,True,True,False,False,True,False,True,True,False,True,False,5.8705310859057714e-05,0.0001158276143403,True,False,Mércurios Análogos
